STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng nha khoa 7720301B,19.0,,,SI>=7.25; TTNV <=1
2.0,Điều dưỡng phụ sản 7720301D,19.0,,,SI>=6.5; TTNV <=6
3.0,Điều dưỡng đa khoa 7720301A,19.0,,,SI>=6.25; TTNV <=1
4.0,Điều dưỡng gây mê hồi sức 7720301C,19.0,,,SI>=4.75; TTNV <=2
5.0,Dược học 7720201,25.0,,,HO>=7.25; TTNV <=11
6.0,Kỹ thuật xét nghiệm y học 7720601,24.3,,,SI>=7.5; TTNV <=2
7.0,Kỹ thuật phục hồi chức năng 7720603,22.0,,,SI>=6.5; TTNV <=1
8.0,Kỹ thuật hình ảnh y học 7720602,22.5,,,SI>=5.75; TTNV <=2
9.0,Y khoa 7720101,26.6,,,SI>=8.25; TTNV <=7
10.0,Y tế công cộng 7720701,15.0,,,SI>=4.5; TTNV <=7
