STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Dược học - Nam thí sinh phía Bắc 7720201|21A00,23.19,,,
2.0,Dược học - Nữ thí sinh phía Nam 7720201|12A00,25.43,,,
3.0,Dược học - Nam thí sinh phía Nam 7720201|22A00,23.2,,,
4.0,Y khoa (Nữ - Miền Nam) 7720101|12A00,27.1,,,
5.0,Y khoa (Nam - Miền Bắc) 7720101|21B00,25.15,,,
6.0,Y khoa (Nữ - Miền Bắc) 7720101|11B00,27.17,,,
7.0,Y khoa (Nữ - Miền Nam) 7720101|12B00,27.1,,,
8.0,Y khoa (Nam - Miền Bắc) 7720101|21A00,25.15,,,
9.0,Y khoa (Nữ - Miền Bắc) 7720101|11A00,27.17,,,
10.0,Y học dự phòng (Nam - Miền Nam) 7720110|22B00,24.6,,,
11.0,Y khoa (Nam - Miền Nam) 7720101|22A00,24.91,,,
12.0,Y học dự phòng (Nam - Miền Bắc) 7720110|21B00,25.5,,,
13.0,Y khoa (Nam - Miền Nam) 7720101|22B00,24.91,,,
